event_id,delivery_id,driver_id,status,status_timestamp,gps_lat,gps_lng,ingested_at
EVT-00510,DEL-0250,,picked_up,2026-09-05T03:00:00,31.5879,-7.98844,2026-09-07 21:52:52.898655
EVT-00520,DEL-10005,DRV-005,delivered,2026-09-06T13:47:33.459478,31.65477,-7.96398,2026-09-07 21:52:52.898655
EVT-00052,DEL-0028,,in_transit,2026-09-03T03:42:00,31.65215,-8.01813,2026-09-07 21:52:52.898655
EVT-00470,DEL-0233,,in_transit,2026-09-02T03:27:00,31.66965,-8.0451,2026-09-07 21:52:52.898655
EVT-00198,DEL-0099,DRV-027,delivered,2026-09-08T13:47:33.455401,31.56139,-7.96761,2026-09-07 21:52:52.898655
EVT-00355,DEL-0177,,in_transit,2026-09-03T04:00:00,31.60186,-7.97512,2026-09-07 21:52:52.898655
EVT-00514,DEL-9999,DRV-013,in_transit,2026-09-06T13:47:33.459458,31.60657,-8.02888,2026-09-07 21:52:52.898655
EVT-00383,DEL-0192,,in_transit,2026-09-04T03:06:00,31.58728,-7.99649,2026-09-07 21:52:52.898655
EVT-00221,DEL-0111,,picked_up,2026-09-02T01:00:00,31.66142,-7.98526,2026-09-07 21:52:52.898655
EVT-00392,DEL-0196,DRV-027,picked_up,2026-09-02T01:00:00,31.55928,-8.00299,2026-09-07 21:52:52.898655
EVT-00133,DEL-0070,,picked_up,2026-09-02T03:00:00,31.63165,-8.03486,2026-09-07 21:52:52.898655
EVT-00083,DEL-0043,,picked_up,2026-09-03T02:00:00,31.66228,-8.04877,2026-09-07 21:52:52.898655
EVT-00055,DEL-0029,DRV-008,in_transit,2026-09-05T04:13:00,31.66013,-8.04075,2026-09-07 21:52:52.898655
EVT-00112,DEL-0057,,picked_up,2026-09-04T01:00:00,31.57923,-8.02113,2026-09-07 21:52:52.898655
EVT-00113,DEL-0058,DRV-024,picked_up,2026-09-02T03:00:00,31.58483,-7.99569,2026-09-07 21:52:52.898655
EVT-00001,DEL-0001,DRV-002,picked_up,2026-09-01T01:00:00,31.67515,-7.95977,2026-09-07 21:52:52.898655
EVT-00281,DEL-0137,,delivered,2026-09-01T05:02:00,31.63713,-8.03001,2026-09-07 21:52:52.898655
EVT-00131,DEL-0069,DRV-005,picked_up,2026-09-02T03:00:00,31.56342,-8.01324,2026-09-07 21:52:52.898655
EVT-00515,DEL-10000,DRV-006,in_transit,2026-09-06T13:47:33.459464,31.56808,-7.99446,2026-09-07 21:52:52.898655
EVT-00348,DEL-0174,DRV-013,picked_up,2026-09-08T13:47:33.457255,31.64147,-7.95808,2026-09-07 21:52:52.898655
EVT-00223,DEL-0112,,picked_up,2026-09-05T03:00:00,31.64266,-7.97906,2026-09-07 21:52:52.898655
EVT-00449,DEL-0224,,picked_up,2026-09-03T01:00:00,31.58944,-7.97544,2026-09-07 21:52:52.898655
EVT-00350,DEL-0175,DRV-007,picked_up,2026-09-08T13:47:33.457279,31.57275,-7.99938,2026-09-07 21:52:52.898655
EVT-00517,DEL-10002,DRV-028,delivered,2026-09-06T13:47:33.459470,31.56632,-8.04884,2026-09-07 21:52:52.898655
EVT-00305,DEL-0150,DRV-028,in_transit,2026-09-08T13:47:33.456685,31.62757,-7.99628,2026-09-07 21:52:52.898655
EVT-00379,DEL-0190,DRV-017,picked_up,2026-09-03T19:00:00,31.63626,-7.96396,2026-09-07 21:52:52.898655
EVT-00491,DEL-0242,,in_transit,2026-09-02T04:26:00,31.55053,-7.95677,2026-09-07 21:52:52.898655
EVT-00404,DEL-0201,DRV-030,in_transit,2026-09-05T04:19:00,31.58844,-8.02367,2026-09-07 21:52:52.898655
EVT-00068,DEL-0035,,picked_up,2026-09-01T03:00:00,31.55223,-7.96868,2026-09-07 21:52:52.898655
EVT-00130,DEL-0068,DRV-008,in_transit,2026-09-08T13:47:33.454627,31.59466,-8.03794,2026-09-07 21:52:52.898655
EVT-00259,DEL-0129,DRV-002,picked_up,2026-09-08T13:47:33.456126,31.66288,-7.99752,2026-09-07 21:52:52.898655
EVT-00064,DEL-0032,DRV-024,delivered,2026-09-01T03:16:00,31.572,-7.97797,2026-09-07 21:52:52.898655
EVT-00337,DEL-0168,,picked_up,2026-09-01T03:00:00,31.63509,-7.98122,2026-09-07 21:52:52.898655
EVT-00027,DEL-0013,,in_transit,2026-09-04T02:49:00,31.67141,-8.04637,2026-09-07 21:52:52.898655
EVT-00289,DEL-0142,DRV-005,picked_up,2026-09-04T01:00:00,31.61377,-7.99273,2026-09-07 21:52:52.898655
EVT-00368,DEL-0183,DRV-016,in_transit,2026-09-04T02:26:00,31.56287,-8.03367,2026-09-07 21:52:52.898655
EVT-00241,DEL-0121,DRV-006,in_transit,2026-09-05T03:33:00,31.64462,-7.99036,2026-09-07 21:52:52.898655
EVT-00302,DEL-0149,DRV-020,in_transit,2026-09-02T03:33:00,31.65688,-8.04692,2026-09-07 21:52:52.898655
EVT-00518,DEL-10003,DRV-021,picked_up,2026-09-06T13:47:33.459473,31.56872,-7.96151,2026-09-07 21:52:52.898655
EVT-00032,DEL-0017,DRV-017,picked_up,2026-09-01T02:00:00,31.61207,-7.95642,2026-09-07 21:52:52.898655
